rank,company,ticker,item_type,seq,text
19,Shimizu Corporation,1803,Company defence,1,Losses stemmed from unprecedented materials and labour inflation on pre-pandemic contracts; pricing discipline is restored and the order book repriced; the property portfolio is a deliberate earnings stabiliser against construction cyclicality. The stabiliser argument supports keeping the real estate — not refusing to disclose its value.
20,Nippon Shokubai,4114,Elevator pitch,1,"0.6x book. The largest business, superabsorbent polymers, has been commoditised by Middle Eastern and Chinese capacity and will not earn cost of capital again."
20,Nippon Shokubai,4114,Elevator pitch,2,A genuinely differentiated electronic and functional materials business with real pricing power is entirely obscured by the commodity drag.
20,Nippon Shokubai,4114,Elevator pitch,3,Management's response is incremental cost programmes and continued cross-shareholdings. No portfolio decision is being made.
20,Nippon Shokubai,4114,Actionable change,1,"Take a decision on superabsorbent polymers — exit, consolidate with a competitor, or restructure to a defensible cost position — with a stated deadline."
20,Nippon Shokubai,4114,Actionable change,2,Separate and separately disclose electronic and functional materials so the growth asset can be valued independently.
20,Nippon Shokubai,4114,Actionable change,3,Unwind the listed cross-shareholding portfolio; adopt an explicit ROE and cost-of-capital framework.
20,Nippon Shokubai,4114,Activist angle,1,Portfolio simplification
20,Nippon Shokubai,4114,Activist angle,2,Undervalued assets
20,Nippon Shokubai,4114,Activist angle,3,Capital allocation / governance
20,Nippon Shokubai,4114,Shareholder support,1,"0.6x PBR makes this an archetypal TSE capital-efficiency target, giving domestic institutions a clear mandate, and the cross-shareholding demand is close to unopposable in the current policy environment. Japanese chemicals is well-trodden ground for activists. Obstacles: commodity-chemical restructuring is slow and capital-intensive, and relationship banks on the register are conservative. Expect multi-year engagement."
20,Nippon Shokubai,4114,Company defence,1,Superabsorbent polymers retain a technology and quality edge in premium hygiene; the business is cash-generative at trough margins and funds materials growth investment; exit would strand assets and incur large closure costs. The cash-generation point has merit — but has been offered through several cycles while returns declined.
